G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
30,9,97.7,112,0.1716,47.1,54.7,18.1,16.7,27.9,30.5,24.3,28.9,46.8,54.8,31.6,36.3,72.2,-15.9,0,2023
33,8,87.8,109.6,0.0719,45,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.8,0,2016
34,21,106.8,104,0.5747,52,47.2,22.2,17.3,39.1,30,40.8,38.4,50.7,46.7,36.8,32.1,71.1,-6.4,0,2016
29,18,99.8,100,0.4932,50.4,49.5,19.2,21.6,31.4,29,41.5,42.7,50,45.4,34.1,36.8,68.8,-6,0,2016
34,24,112.8,96.7,0.8542,54,49,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32,65.4,1.9,3,2022
31,18,98.1,102.2,0.3866,49.9,48.2,20.4,17.4,28.1,27.8,36.8,33.8,49.8,47.8,33.4,32.6,67.3,-9.1,0,2022
36,31,110,93.8,0.8622,51.2,44.5,19.8,19.9,33.4,28.6,31,40.2,49.6,44.2,35.7,30.1,58.7,1.1,0,2023
29,18,109.2,109.5,0.4905,51.9,52.9,15.9,20.6,31.9,31.7,35,32.3,49.8,53.3,38.2,34.7,66.9,-5.7,0,2016
29,10,98,107,0.2671,46.3,50.8,17.4,13.7,28.4,21.4,30.5,41.5,44.3,50.6,32.6,34.1,66.7,-16,0,2018
33,25,101.7,100.3,0.5384,48.6,47,19.1,19.3,29.9,25.2,37.6,37.4,49.1,46.5,31.8,32,69.5,-2,0,2023
32,12,109.1,100.6,0.7177,50.1,50.3,18,17.6,26.4,29.4,30.6,31.5,46,48.3,37.2,35.4,67.5,-4.1,0,2019
30,17,103.2,101.1,0.557,52.2,47.4,18.8,21.5,25.9,31.2,26.5,33.2,49.9,47.8,37,31.1,66.2,-6.9,0,2013
29,17,111.5,112.2,0.4828,53.5,52.9,15.9,14.3,29.4,28.1,25.8,30,50.8,52.7,38,35.4,64.5,-7,0,2023
31,19,103,105.2,0.4377,51.7,50.9,17.1,17.3,21.5,26,28.1,23.1,51.2,51.7,35.1,33.2,66.7,-6.5,0,2023
34,18,105.4,100.4,0.6341,49.9,49.7,22,20.6,30.9,36.6,40.4,34.8,48.9,47.1,34.8,36.8,66,-3,0,2013
30,3,92.3,113.3,0.0863,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,45.5,55.6,32.6,37.4,66.6,-20.9,0,2015
34,19,109.1,94.1,0.8448,47.5,46.8,17.3,19.2,32.1,28.5,33.4,33.7,44.3,45.7,35.9,33.3,68.2,-2.2,0,2013
